Turma,Aluno,NP,NV,Período
2018101,20183019627,9,"8,7",2
2018102,20183000723,"4,3","4,1",2
2018102,20183000741,10,"9,2",2
2018102,20183000803,10,"6,9",2
2018102,20183000886,"9,7","5,8",2
2018102,20183000895,10,"3,6",2
2018102,20183000984,"8,5","8,5",2
2018102,20183001140,"8,5","4,6",2
2018102,20183001168,10,"4,3",2
2018102,20183001346,"7,5","7,6",2
2018102,20183001453,10,10,2
2018102,20183002423,"5,3","8,7",2
2018102,20183002871,10,"5,4",2
2018102,20183003289,"9,8","3,5",2
2018102,20183003304,10,10,2
2018102,20183003467,9,"4,2",2
2018102,20183004114,"8,6","8,3",2
2018102,20183004571,10,3,2
2018102,20183000545,10,0,2
2018102,20183004885,10,8,2
2018102,20183005354,"7,3",1,2
2018102,20183005882,0,0,2
2018102,20183006039,0,0,2
2018102,20183006084,"9,7","5,3",2
2018102,20183006360,0,0,2
2018102,20183000572,10,"8,6",2
2018102,20183006440,10,0,2
2018102,20183006594,0,0,2
2018102,20183006997,"9,5","3,3",2
2018102,20183007009,0,"5,4",2
2018102,20183007107,10,10,2
2018102,20183007546,10,10,2
2018102,20183007555,9,6,2
2018102,20183007760,0,0,2
2018102,20183012484,"9,3","3,8",2
2018102,20183014219,"9,6","1,1",2
2018102,20183014246,0,"0,4",2
2018102,20183018586,9,"3,9",2
2018102,20183018639,10,"6,3",2
2018102,20183019242,0,0,2
2018103,20183000750,10,"7,5",2
2018103,20183000840,0,"1,3",2
2018103,20183001524,0,"7,4",2
2018103,20183001613,"6,5","6,6",2
2018103,20183001678,9,"8,2",2
2018103,20183002020,"8,7",0,2
2018103,20183002764,"9,1",5,2
2018103,20183002862,0,"7,4",2
2018103,20183003144,"9,2","3,5",2
2018103,20183003233,10,"7,5",2
2018103,20183003420,0,"7,3",2
2018103,20183004052,"9,7","2,6",2
2018103,20183004105,"8,7",0,2
2018103,20183004203,0,2,2
2018103,20183004590,"7,8",0,2
2018103,20183004983,10,"8,5",2
2018103,20183005167,"8,7","7,8",2
2018103,20183005720,"8,7","0,6",2
2018103,20183005917,"9,7","0,6",2
2018103,20183006010,"8,7",2,2
2018103,20183006244,10,3,2
2018103,20183006404,"8,1","6,8",2
2018103,20183006585,"8,7","3,3",2
2018103,20183007018,0,0,2
2018103,20183000536,10,"3,4",2
2018103,20183007250,"9,7","5,5",2
2018103,20183007466,"8,7",2,2
2018103,20183008605,"7,8",3,2
2018103,20183009059,"9,5",7,2
2018103,20183009326,10,4,2
2018103,20183009498,0,"3,2",2
2018103,20183010345,10,"5,8",2
2018103,20183012690,"6,8","7,9",2
2018103,20183014925,"8,7",5,2
2018103,20183017847,"8,7","1,2",2
2018103,20183020726,"8,7","1,3",2
2018104,20183001079,10,9,2
2018104,20183001435,0,"1,2",2
2018104,20183001570,"9,7",2,2
2018104,20183001696,5,"6,1",2
2018104,20183001758,0,0,2
2018104,20183001838,9,2,2
2018104,20183002002,0,0,2
2018104,20183002011,"7,8","6,2",2
2018104,20183002100,"6,3","4,2",2
2018104,20183002165,8,10,2
2018104,20183002450,8,"7,9",2
2018104,20183003387,5,"2,4",2
2018104,20183003921,10,10,2
2018104,20183004221,"9,8","4,9",2
2018104,20183004393,"9,6","3,8",2
2018104,20183004491,"6,3","8,2",2
2018104,20183004517,5,3,2
2018104,20183004974,"8,8",1,2
2018104,20183005200,5,1,2
2018104,20183005238,0,0,2
2018104,20183005523,"9,7","8,1",2
2018104,20183005603,0,"0,5",2
2018104,20183005686,"9,1","8,8",2
2018104,20183005962,2,5,2
2018104,20183005990,5,1,2
2018104,20183006502,"6,5","2,8",2
2018104,20183006638,"9,8",2,2
2018104,20183006763,10,"5,8",2
2018104,20183007063,10,8,2
2018104,20183007297,10,"3,5",2
2018104,20183007368,10,"8,8",2
2018104,20183007401,10,"5,4",2
2018104,20183007537,5,1,2
2018104,20183008857,"6,3","5,7",2
2018104,20183011638,5,1,2
2018104,20183013196,"6,3",10,2
2018104,20183014747,5,2,2
2018104,20183016803,9,"7,8",2
2018110,20183000812,10,"4,8",2
2018110,20183000939,10,"5,5",2
2018110,20183001032,0,0,2
2018110,20183001060,"9,2","7,8",2
2018110,20183001275,"9,8","6,3",2
2018110,20183001284,"9,2","4,9",2
2018110,20183001337,"9,2","7,4",2
2018110,20183001391,"2,4",0,2
2018110,20183001551,9,"2,3",2
2018110,20183001669,"9,7","5,7",2
2018110,20183001909,"9,3","9,5",2
2018110,20183002183,5,5,2
2018110,20183002218,0,0,2
2018110,20183002380,"9,7",10,2
2018110,20183002610,9,0,2
2018110,20183002906,9,4,2
2018110,20183002960,--,--,2
2018110,20183003968,0,"2,7",2
2018110,20183003986,6,"2,4",2
2018110,20183004259,"9,2","3,4",2
2018110,20183004286,"9,5",5,2
2018110,20183004320,9,"2,1",2
2018110,20183004526,"9,4",2,2
2018110,20183004535,"9,7",2,2
2018110,20183004580,--,0,2
2018110,20183005130,0,0,2
2018110,20183005292,"9,5","2,2",2
2018110,20183005363,"6,3","0,2",2
2018110,20183005588,0,"6,6",2
2018110,20183006431,"8,7","2,5",2
2018110,20183006825,10,10,2
2018110,20183006988,"9,2","6,1",2
2018110,20183007072,0,0,2
2018110,20183007279,0,"9,5",2
2018110,20183008104,"9,5",2,2
2018110,20183017041,0,"3,1",2
2018110,20183000581,"9,8",10,2
2018110,20183000438,0,0,2
2018110,20183000492,"6,2","8,5",2
2018110,20183000465,"7,3","8,9",2
2018130,20183000616,10,2,2
2018130,20183000643,10,"2,2",2
2018130,20183000652,10,"0,5",2
2018130,20183001293,10,1,2
2018130,20183001767,"8,5",7,2
2018130,20183001865,--,--,2
2018130,20183001883,0,0,2
2018130,20183001918,10,2,2
2018130,20183002915,10,"3,9",2
2018130,20183003091,10,"0,6",2
2018130,20183003331,8,"6,8",2
2018130,20183003449,0,"2,3",2
2018130,20183003510,5,3,2
2018130,20183003940,10,0,2
2018130,20183004061,10,10,2
2018130,20183004419,9,3,2
2018130,20183004858,10,2,2
2018130,20183005185,10,0,2
2018130,20183005345,10,2,2
2018130,20183005372,"6,8",2,2
2018130,20183005416,"2,8",2,2
2018130,20183005935,10,"0,5",2
2018130,20183005953,8,3,2
2018130,20183006342,"9,5","4,7",2
2018130,20183007045,10,0,2
2018130,20183007591,0,0,2
2018130,20183020341,10,"8,6",2
2018130,20183024814,10,"8,4",2
2018130,20183024823,10,2,2
2018130,20183025160,10,"0,5",2
2018130,20183025428,10,0,2
2018130,20183025455,"9,6","0,7",2
2018130,20183000474,10,0,2
2018140,20183000699,10,"2,5",2
2018140,20183001186,0,2,2
2018140,20183001210,"2,3",1,2
2018140,20183002343,10,1,2
2018140,20183002460,"9,5","6,3",2
2018140,20183002497,"9,8","2,9",2
2018140,20183003672,10,0,2
2018140,20183003734,10,0,2
2018140,20183003770,10,"5,4",2
2018140,20183003780,9,"5,1",2
2018140,20183003823,"9,5",1,2
2018140,20183003841,10,0,2
2018140,20183003995,8,"4,8",2
2018140,20183004339,10,"3,5",2
2018140,20183006271,10,"5,2",2
2018140,20183006413,10,"9,7",2
2018140,20183006469,10,0,2
2018140,20183006558,10,"0,8",2
2018140,20183006979,10,"4,4",2
2018140,20183026390,10,"4,7",2
2018150,20183000868,10,3,2
2018150,20183003019,0,0,2
2018150,20183003117,10,2,2
2018150,20183003850,10,"0,5",2
2018150,20183004366,10,"4,6",2
2018150,20183004482,10,"6,2",2
2018150,20183005050,10,"4,6",2
2018150,20183005194,9,"5,6",2
2018150,20183005514,10,"6,2",2
2018150,20183006709,10,"4,8",2
2018150,20183006718,9,"7,9",2
2018150,20183006905,10,0,2
2018150,20183006932,4,"2,6",2
2018150,20183007152,0,0,2
2018150,20183007260,0,"0,2",2
2018150,20183018156,10,"0,2",2
2018151,20183001711,"8,5","9,8",2
2018151,20183001810,10,0,2
2018151,20183002263,10,"4,4",2
2018151,20183002272,10,0,2
2018151,20183002316,4,"4,9",2
2018151,20183003135,10,"4,1",2
2018151,20183003583,10,"3,7",2
2018151,20183004375,10,"5,3",2
2018151,20183004384,10,"3,1",2
2018151,20183004722,"9,7","7,5",2
2018151,20183004769,--,--,2
2018151,20183004778,"5,7","8,1",2
2018151,20183004787,10,"0,2",2
2018151,20183004992,"8,2","8,5",2
2018151,20183005069,10,"7,2",2
2018151,20183005078,10,0,2
2018151,20183005087,10,"4,2",2
2018151,20183005102,10,"9,1",2
2018151,20183005336,10,2,2
2018151,20183005381,"9,5","5,3",2
2018151,20183005819,"8,9","9,8",2
2018151,20183005971,10,"9,3",2
2018151,20183006262,10,"1,4",2
2018151,20183006324,"6,8",10,2
2018151,20183006567,"9,7","2,6",2
2018151,20183006834,9,"3,8",2
2018151,20183007134,10,"2,8",2
2018151,20183007143,--,--,2
2018151,20183007439,10,"1,8",2
2018151,20183007528,3,3,2
2018160,20183000760,"8,2",10,2
2018160,20183001364,"3,3","5,4",2
2018160,20183002076,10,"2,6",2
2018160,20183002399,10,0,2
2018160,20183002432,10,0,2
2018160,20183002441,10,"0,5",2
2018160,20183002503,10,1,2
2018160,20183002530,10,2,2
2018160,20183002586,0,2,2
2018160,20183002601,"7,8","7,1",2
2018160,20183002684,10,"2,4",2
2018160,20183002746,10,"7,6",2
2018160,20183002791,"9,6","8,6",2
2018160,20183003224,10,1,2
2018160,20183003411,10,3,2
2018160,20183003529,10,1,2
2018160,20183003565,"9,5","4,4",2
2018160,20183003627,10,"1,3",2
2018160,20183003663,0,0,2
2018160,20183004910,10,"6,7",2
2018160,20183004938,10,"6,3",2
2018160,20183005480,0,"2,7",2
2018160,20183005980,10,1,2
2018160,20183006217,10,1,2
2018160,20183006370,10,3,2
2018160,20183006754,10,1,2
2018160,20183006772,10,1,2
2018160,20183006781,6,"2,3",2
2018160,20183006870,10,10,2
2018160,20183007475,10,"1,6",2
2018101,20183000670,"9,8","4,8",3
2018101,20183000910,0,2,3
2018101,20183000948,0,0,3
2018101,20183001014,9,10,3
2018101,20183001050,10,"8,3",3
2018101,20183001103,"8,8",3,3
2018101,20183001631,9,"6,3",3
2018101,20183001829,"9,4","9,7",3
2018101,20183002058,0,"4,3",3
2018101,20183002254,"7,5","7,7",3
2018101,20183000509,0,2,3
2018101,20183002559,0,"2,3",3
2018101,20183002639,0,2,3
2018101,20183002853,"6,5",3,3
2018101,20183002998,10,10,3
2018101,20183003206,7,0,3
2018101,20183003313,9,"9,8",3
2018101,20183004034,0,2,3
2018101,20183004197,0,0,3
2018101,20183004240,"6,5","3,3",3
2018101,20183004553,8,"2,7",3
2018101,20183004811,"9,6",2,3
2018101,20183004894,0,2,3
2018101,20183004929,"9,8","8,7",3
2018101,20183005425,"5,6",6,3
2018101,20183005748,"8,8","3,4",3
2018101,20183005793,9,"8,7",3
2018101,20183006020,0,0,3
2018101,20183006226,0,0,3
2018101,20183006398,0,2,3
2018101,20183007027,8,"2,8",3
2018101,20183007116,0,2,3
2018101,20183007340,8,"3,3",3
2018101,20183007500,6,7,3
2018101,20183011549,"8,5","6,6",3
2018101,20183014021,7,2,3
2018101,20183015790,"7,5","5,8",3
2018101,20183016376,0,"2,2",3
2018101,20183019627,"9,7",6,3
2018102,20183000723,9,"5,3",3
2018102,20183000741,"9,7","7,1",3
2018102,20183000803,"9,7","4,5",3
2018102,20183000886,"9,5","4,4",3
2018102,20183000895,"9,6",4,3
2018102,20183000984,9,"7,3",3
2018102,20183001140,0,0,3
2018102,20183001168,"8,2","7,8",3
2018102,20183001346,"7,3","5,6",3
2018102,20183001453,10,10,3
2018102,20183002423,"8,6",7,3
2018102,20183002871,"9,6","5,1",3
2018102,20183003289,8,"0,9",3
2018102,20183003304,10,10,3
2018102,20183003467,"9,4","0,6",3
2018102,20183004114,"6,8","8,5",3
2018102,20183004571,"9,9",3,3
2018102,20183000545,"9,6",0,3
2018102,20183004885,"9,3",7,3
2018102,20183005354,"9,7","2,4",3
2018102,20183005882,--,0,3
2018102,20183006039,0,2,3
2018102,20183006084,6,"7,4",3
2018102,20183006360,0,"0,2",3
2018102,20183000572,"9,6","8,6",3
2018102,20183006440,0,0,3
2018102,20183006594,0,0,3
2018102,20183006997,10,"2,8",3
2018102,20183007009,"8,7",5,3
2018102,20183007107,10,10,3
2018102,20183007546,"9,8","9,2",3
2018102,20183007555,0,"1,5",3
2018102,20183007760,0,0,3
2018102,20183012484,"7,8","6,2",3
2018102,20183014219,"6,6","2,2",3
2018102,20183014246,9,"6,3",3
2018102,20183018586,8,5,3
2018102,20183018639,10,"8,3",3
2018102,20183019242,0,2,3
2018103,20183000750,10,"6,3",3
2018103,20183000840,0,0,3
2018103,20183001524,"4,4",6,3
2018103,20183001613,10,"5,3",3
2018103,20183001678,10,"7,4",3
2018103,20183002020,0,"6,7",3
2018103,20183002764,"8,2",5,3
2018103,20183002862,"8,2","5,8",3
2018103,20183003144,"7,5",4,3
2018103,20183003233,10,"7,7",3
2018103,20183003420,9,"7,9",3
2018103,20183004052,6,"1,8",3
2018103,20183004105,"6,7",0,3
2018103,20183004203,"3,3","2,2",3
2018103,20183004590,"6,8",0,3
2018103,20183004983,"7,7","9,5",3
2018103,20183005167,"9,7","6,2",3
2018103,20183005720,"7,7","0,2",3
2018103,20183005917,"9,2",3,3
2018103,20183006010,5,2,3
2018103,20183006244,"6,5","2,1",3
2018103,20183006404,9,9,3
2018103,20183006585,"8,7","1,9",3
2018103,20183007018,0,2,3
2018103,20183000536,0,2,3
2018103,20183007250,"9,2","8,6",3
2018103,20183007466,8,2,3
2018103,20183008605,0,2,3
2018103,20183009059,"9,5","5,9",3
2018103,20183009326,"9,7","5,4",3
2018103,20183009498,0,0,3
2018103,20183010345,"9,6","5,9",3
2018103,20183012690,10,"5,6",3
2018103,20183014925,0,"2,4",3
2018103,20183017847,"8,7","2,8",3
2018103,20183020726,"9,7","1,7",3
2018104,20183001079,"9,1","8,1",3
2018104,20183001435,0,2,3
2018104,20183001570,"9,5",1,3
2018104,20183001696,"9,9","6,5",3
2018104,20183001758,0,0,3
2018104,20183001838,9,2,3
2018104,20183002002,0,0,3
2018104,20183002011,"8,3","6,6",3
2018104,20183002100,"7,1",4,3
2018104,20183002165,8,10,3
2018104,20183002450,"7,8","7,2",3
2018104,20183003387,"7,5","4,6",3
2018104,20183003921,"7,1",10,3
2018104,20183004221,8,"5,8",3
2018104,20183004393,"9,5","2,3",3
2018104,20183004491,"7,1","5,5",3
2018104,20183004517,"7,6","2,7",3
2018104,20183004974,0,0,3
2018104,20183005200,0,0,3
2018104,20183005238,0,"2,8",3
2018104,20183005523,"9,5",10,3
2018104,20183005603,0,0,3
2018104,20183005686,"9,8","9,8",3
2018104,20183005962,"3,8",5,3
2018104,20183005990,0,0,3
2018104,20183006502,"6,7","5,2",3
2018104,20183006638,7,"4,1",3
2018104,20183006763,"9,8","4,6",3
2018104,20183007063,"9,8","7,5",3
2018104,20183007297,9,7,3
2018104,20183007368,"8,8","4,8",3
2018104,20183007401,0,"2,6",3
2018104,20183007537,0,0,3
2018104,20183008857,"2,1","4,6",3
2018104,20183011638,0,0,3
2018104,20183013196,"8,8","9,7",3
2018104,20183014747,0,"1,2",3
2018104,20183016803,8,"6,9",3
